상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
25998072,BBQ치킨홍성본점,홍성본점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,44,충청남도,44800,홍성군,4480025000,홍성읍,4480025021,홍성읍,4480025021103990020,1,대지,399,20,충청남도 홍성군 홍성읍 오관리 399-20,448003254216,충청남도 홍성군 홍성읍 내포로,42,,4480025021103990020038123,,충청남도 홍성군 홍성읍 내포로 42,350817,32230,,1,,126.663466101054,36.5988425366588
25998117,BHC치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42110,춘천시,4211070500,신사우동,4211011900,사농동,4211011900108090000,1,대지,809,,강원도 춘천시 사농동 809,421104454187,강원도 춘천시 마장길,58,,4211011900108090000070156,롯데캐슬더퍼스트1단지아파트,강원도 춘천시 마장길 58,200741,24222,,1,,127.729611622389,37.9082975973649
25998214,BHC치킨,미아2호점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11305,강북구,1130553500,미아동,1130510100,미아동,1130510100102250054,1,대지,225,54,서울특별시 강북구 미아동 225-54,113053108002,서울특별시 강북구 솔매로,97,1,1130510100102250054030241,,서울특별시 강북구 솔매로 97-1,142812,01126,,1,,127.023064440799,37.6255636335069
25998243,BBQ치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,43,충청북도,43130,충주시,4313064000,목행.용탄동,4313011900,목행동,4313011900106760064,1,대지,676,64,충청북도 충주시 목행동 676-64,431304515491,충청북도 충주시 행정1길,105,,4313011900105900001021689,,충청북도 충주시 행정1길 105,380240,27436,,1,,127.919545673498,37.0154429359353
25998302,DD치킨점,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41590,화성시,4159058700,동탄3동,4159011800,능동,4159011800111130005,1,대지,1113,5,경기도 화성시 능동 1113-5,415903177017,경기도 화성시 동탄지성로,136,,4159011800111130005000001,우리프라자,경기도 화성시 동탄지성로 136,445320,18433,,1,,127.060672607226,37.2097010890812
25998345,BHC치킨,대곡점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,27,대구광역시,27290,달서구,2729062800,도원동,2729011600,도원동,2729011600114290000,1,대지,1429,,대구광역시 달서구 도원동 1429,272903147047,대구광역시 달서구 한실로,49,,2729011600114290003016117,한실들마을,대구광역시 달서구 한실로 49,704799,42832,,,,128.53281451273,35.8074909993284
25998348,BBQ치킨성건점,성건점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,47,경상북도,47130,경주시,4713055000,성건동,4713010800,성건동,4713010800106980008,1,대지,698,8,경상북도 경주시 성건동 698-8,471303305009,경상북도 경주시 금성로,385,,4713010800106980008012559,,경상북도 경주시 금성로 385,780945,38134,,1,,129.206668346717,35.8521774994351
25998389,BHC치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,29,광주광역시,29155,남구,2915573000,대촌동,2915512500,신장동,2915512500103160000,1,대지,316,,광주광역시 남구 신장동 316,291554283461,광주광역시 남구 신장1안길,10,11,2915512500103160000017817,,광주광역시 남구 신장1안길 10-11,503211,61763,,,,126.817460992875,35.0563388576302
25998407,BHC치킨,비어존연삼로점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,50,제주특별자치도,50110,제주시,5011062000,봉개동,5011011600,봉개동,5011011600117390001,1,대지,1739,1,제주특별자치도 제주시 봉개동 1739-1,501103349084,제주특별자치도 제주시 삼봉로,299,3,5011011600117390001052977,봉개반석아르미,제주특별자치도 제주시 삼봉로 299-3,690090,63327,103,,,126.596025531762,33.4955329579198
25998443,B.H.C치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,26,부산광역시,26290,남구,2629051000,대연1동,2629010600,대연동,2629010600117520025,1,대지,1752,25,부산광역시 남구 대연동 1752-25,262904193139,부산광역시 남구 수영로196번길,5,,2629010600117520012029537,,부산광역시 남구 수영로196번길 5,608020,48492,,1,,129.088115248721,35.1346797648081
